Pop2023,Pop2022,city,country,continent,growthRate,rank,
6247889,6194292,Belo Horizonte,Brazil,South America,0.0087,62,
6198016,6065354,Johannesburg,South Africa,Africa,0.0219,63,
6080859,6039577,Singapore,Singapore,Asia,0.0068,64,
6077995,5930140,Dalian,China,Asia,0.0249,65,
5986525,5865232,Qingdao,China,Asia,0.0207,66,
5859272,5690312,Zhengzhou,China,Asia,0.0297,67,
5806031,5663015,Ji-nan Shandong,China,Asia,0.0253,68,
5687356,5658472,Barcelona,Spain,Europe,0.0051,69,
5686350,5515790,Abidjan,Ivory Coast,Africa,0.0309,70,
5610241,5514454,Yangon,Myanmar,Asia,0.0174,71,
5588477,5483605,Alexandria,Egypt,Africa,0.0191,72,
5561294,5535556,Saint Petersburg,Russia,Europe,0.0046,73,
5490271,5502591,Fukuoka,Japan,Asia,-0.0022,74,
5460591,5227794,Addis Ababa,Ethiopia,Africa,0.0445,75,
5419880,5339583,Guadalajara,Mexico,North America,0.015,76,
5397098,5309690,Ankara,Turkey,Asia,0.0165,77,
5379660,5252842,Chittagong,Bangladesh,Asia,0.0241,78,
5325160,5118844,Nairobi,Kenya,Africa,0.0403,79,
5253385,5067352,Hanoi,Vietnam,Asia,0.0367,80,
5235407,5150766,Melbourne,Australia,Oceania,0.0164,81,
5120894,5056571,Sydney,Australia,Oceania,0.0127,82,
5116647,5036535,Monterrey,Mexico,North America,0.0159,83,
4921487,4809887,Changsha,China,Asia,0.0232,84,
4890280,4800954,Cape Town,South Africa,Africa,0.0186,85,
4873048,4803877,Brasilia,Brazil,South America,0.0144,86,
4865038,4710203,Urumqi,China,Asia,0.0329,87,
4862941,4780740,Jiddah,Saudi Arabia,Asia,0.0172,88,
4761284,4657381,Kunming,China,Asia,0.0223,89,
4710382,4616002,Changchun,China,Asia,0.0204,90,
4615758,4496456,Hefei,China,Asia,0.0265,91,
4588666,4457882,Kabul,Afghanistan,Asia,0.0293,92,
4573713,4490411,Shantou,China,Asia,0.0186,93,
4537901,4405292,Ningbo,China,Asia,0.0301,94,
4509287,4336670,Yaounde,Cameroon,Africa,0.0398,95,
4504147,4470672,Xinbei,Taiwan,Asia,0.0075,96,
4420855,4343584,Tel Aviv,Israel,Asia,0.0178,97,
4370473,4285135,Shijiazhuang,China,Asia,0.0199,98,
4348481,4219209,Kano,Nigeria,Africa,0.0306,99,
4315671,4297877,Rome,Italy,Europe,0.0041,100,
4307958,4276526,Montreal,Canada,North America,0.0073,101,
4263940,4220458,Recife,Brazil,South America,0.0103,102,
4211933,4185488,Porto Alegre,Brazil,South America,0.0063,103,
4207084,4106756,Jaipur,India,Asia,0.0244,104,
4206240,4163953,Fortaleza,Brazil,South America,0.0102,105,
4191890,4085697,Nanning,China,Asia,0.026,106,
4145010,4061003,Taiyuan Shanxi,China,Asia,0.0207,107,
4118327,4044660,Ekurhuleni,South Africa,Africa,0.0182,108,
4102308,4067758,Medellin,Colombia,South America,0.0085,109,
4088555,3920873,Kozhikode,India,Asia,0.0428,110,
4063200,3926645,Douala,Cameroon,Africa,0.0348,111,
4009087,3816345,Malappuram,India,Asia,0.0505,112,
3981658,3869213,Changzhou,China,Asia,0.0291,113,
3958384,3920132,Salvador,Brazil,South America,0.0098,114,
3945409,3854224,Lucknow,India,Asia,0.0237,115,
3935484,3862882,Xiamen,China,Asia,0.0188,116,
3922202,3843753,Fuzhou Fujian,China,Asia,0.0204,117,
3920379,3817888,Nanchang,China,Asia,0.0268,118,
3919724,3824561,Wenzhou,China,Asia,0.0249,119,
3892837,3840396,Casablanca,Morocco,Africa,0.0137,120,
3874908,3756445,Ibadan,Nigeria,Africa,0.0315,121,
3872264,3699900,Antananarivo,Madagascar,Africa,0.0466,122,
3846102,3651919,Kampala,Uganda,Africa,0.0532,123,
3839646,3652029,Abuja,Nigeria,Africa,0.0514,124,
3814702,3693292,Tangshan Hebei,China,Asia,0.0329,125,
3813082,3770919,Curitiba,Brazil,South America,0.0112,126,
3769485,3809182,Los Angeles,United States,North America,-0.0104,127,
3768239,3630326,Kumasi,Ghana,Africa,0.038,128,
3729351,3622203,Bekasi,Indonesia,Asia,0.0296,129,
3710845,3624804,Faisalabad,Pakistan,Asia,0.0237,130,
3580904,3495855,Guiyang,China,Asia,0.0243,131,
3573938,3570750,Berlin,Germany,Europe,0.0009,132,
3523890,3457626,Santo Domingo,Dominican Republic,North America,0.0192,133,
3510511,3452315,Asuncion,Paraguay,South America,0.0169,134,
3482456,3351322,Thrissur,India,Asia,0.0391,135,
3480101,3324694,Port Harcourt,Nigeria,Africa,0.0467,136,
3471949,3468139,Busan,South Korea,Asia,0.0011,137,
3437346,3375810,Wuxi,China,Asia,0.0182,138,
3429536,3326001,Dakar,Senegal,Africa,0.0311,139,
3422796,3384564,Campinas,Brazil,South America,0.0113,140,
3406055,3301294,Kochi,India,Asia,0.0317,141,
3367852,3317640,Mashhad,Iran,Asia,0.0151,142,
3344761,3294779,Puebla,Mexico,North America,0.0152,143,
3302077,3208722,Indore,India,Asia,0.0291,144,
3297759,3238523,Kuwait City,Kuwait,Asia,0.0183,145,
3297528,3226493,Lanzhou,China,Asia,0.022,146,
3292497,3181655,Sanaa,Yemen,Asia,0.0348,147,
3234160,3189926,Kanpur,India,Asia,0.0139,148,
3228003,3199329,Durban,South Africa,Africa,0.009,149,
3203923,3055788,Ouagadougou,Burkina Faso,Africa,0.0485,150,
3181250,3041789,Lusaka,Zambia,Africa,0.0458,151,
3157538,3132527,Pyongyang,North Korea,Asia,0.008,152,
3154570,3149223,Milan,Italy,Europe,0.0017,153,
3154463,3153781,Athens,Greece,Europe,0.0002,154,
3142466,3092355,Guayaquil,Ecuador,South America,0.0162,155,
3095099,3036405,Guatemala City,Guatemala,North America,0.0193,156,
3088414,3056149,Izmir,Turkey,Asia,0.0106,157,
3046687,2991427,Nagpur,India,Asia,0.0185,158,
3044413,3005385,Surabaya,Indonesia,Asia,0.013,159,
3041229,2942149,Depok,Indonesia,Asia,0.0337,160,
3016789,3010209,Kiev,Ukraine,Europe,0.0022,161,
3010685,2973878,Zhongshan,China,Asia,0.0124,162,
3009047,2934621,Coimbatore,India,Asia,0.0254,163,
3007583,2964382,Dubai,United Arab Emirates,Asia,0.0146,164,
3005409,2917786,Handan,China,Asia,0.03,165,
3000536,2986162,Lisbon,Portugal,Europe,0.0048,166,
2987455,2915276,Port-au-Prince,Haiti,North America,0.0248,167,
2979893,2879079,Huaian,China,Asia,0.035,168,
2972145,2956813,Caracas,Venezuela,South America,0.0052,169,
2937359,2935436,Shizuoka,Japan,Asia,0.0007,170,
2929373,2816943,Bamako,Mali,Africa,0.0399,171,
2917819,2834645,Weifang,China,Asia,0.0293,172,
2901810,2853959,Algiers,Algeria,Africa,0.0168,173,
2891746,2765002,Mbuji-Mayi,DR Congo,Africa,0.0458,174,
2891119,2793173,Thiruvananthapuram,India,Asia,0.0351,175,
2863730,2836747,Cali,Colombia,South America,0.0095,176,
2848557,2834132,Incheon,South Korea,Asia,0.0051,177,
2848473,2800919,Goiania,Brazil,South America,0.017,178,
2818100,2739768,Pretoria,South Africa,Africa,0.0286,179,
2811959,2695331,Lubumbashi,DR Congo,Africa,0.0433,180,
2805654,2722257,Shaoxing,China,Asia,0.0306,181,
2791005,2770434,Manchester,United Kingdom,Europe,0.0074,182,
2780142,2732104,Zibo,China,Asia,0.0176,183,
2764584,2689227,Yantai,China,Asia,0.028,184,
2758593,2684343,Huizhou,China,Asia,0.0277,185,
2754196,2742379,Taipei,Taiwan,Asia,0.0043,186,
2674000,2638090,Bandung,Indonesia,Asia,0.0136,187,
2666112,2668982,Sapporo,Japan,Asia,-0.0011,188,
2665100,2645598,Birmingham,United Kingdom,Europe,0.0074,189,
2660072,2605402,Accra,Ghana,Africa,0.021,190,
2657088,2631690,Vancouver,Canada,North America,0.0097,191,
2637733,2552813,Brazzaville,Republic of the Congo,Africa,0.0333,192,
2626368,2575626,Toluca de Lerdo,Mexico,North America,0.0197,193,
2610483,2497463,Mogadishu,Somalia,Africa,0.0453,194,
2608425,2652124,Chicago,United States,North America,-0.0165,195,
2603243,2573758,Tashkent,Uzbekistan,Asia,0.0115,196,
2602793,2534195,Luoyang,China,Asia,0.0271,197,
2584771,2502761,Damascus,Syria,Asia,0.0328,198,
2579762,2529210,Patna,India,Asia,0.02,199,
2564502,2505183,Bhopal,India,Asia,0.0237,200,
2514077,2456106,Tangerang,Indonesia,Asia,0.0236,201,
2504505,2472222,Brisbane,Australia,Oceania,0.0131,202,
2492230,2423725,Nantong,China,Asia,0.0283,203,
2475446,2439404,Tunis,Tunisia,Africa,0.0148,204,
2439564,2442512,San Juan,Puerto Rico,North America,-0.0012,205,
2439054,2402041,Medan,Indonesia,Asia,0.0154,206,
2432304,2401108,Baku,Azerbaijan,Asia,0.013,207,
2421354,2433155,Beirut,Lebanon,Asia,-0.0049,208,
2415416,2352547,Gujranwala,Pakistan,Asia,0.0267,209,
2411785,2342514,Peshawar,Pakistan,Asia,0.0296,210,
2409409,2385490,Belem,Brazil,South America,0.01,211,
2380636,2312208,Hohhot,China,Asia,0.0296,212,
2377325,2327455,Rawalpindi,Pakistan,Asia,0.0214,213,
2375636,2340784,Manaus,Brazil,South America,0.0149,214,
2367626,2332718,Maracaibo,Venezuela,South America,0.015,215,
2367554,2313971,Agra,India,Asia,0.0232,216,
2349400,2324690,Barranquilla,Colombia,South America,0.0106,217,
2346137,2286474,Kannur,India,Asia,0.0261,218,
2343452,2286224,Liuzhou,China,Asia,0.025,219,
2342302,2339991,Sendai,Japan,Asia,0.001,220,
2334878,2287174,Baotou,China,Asia,0.0209,221,
2330928,2277870,Visakhapatnam,India,Asia,0.0233,222,
2324084,2277153,Vadodara,India,Asia,0.0206,223,
2318850,2296368,Taoyuan,Taiwan,Asia,0.0098,224,
2287166,2240503,Xuzhou,China,Asia,0.0208,225,
2281198,2211444,Phnom Penh,Cambodia,Asia,0.0315,226,
2264876,2276533,Houston,United States,North America,-0.0051,227,227
2259787,2221008,Tijuana,Mexico,North America,0.0175,228,
2258396,2219343,Esfahan,Iran,Asia,0.0176,229,
2237369,2180269,Nashik,India,Asia,0.0262,230,
2232240,2209584,Amman,Jordan,Asia,0.0103,231,
2229765,2167516,Vijayawada,India,Asia,0.0287,232,
2203025,2098210,Aleppo,Syria,Asia,0.05,233,
2180997,2184528,Daegu,South Korea,Asia,-0.0016,234,
2179384,2180348,Naples,Italy,Europe,-0.0004,235,
2176022,2093166,Putian,China,Asia,0.0396,236,
2170513,2141511,Grande Vitoria,Brazil,South America,0.0135,237,
2154600,2105987,Multan,Pakistan,Asia,0.0231,238,
2149928,2114675,Mecca,Saudi Arabia,Asia,0.0167,239,
2148930,2145691,Havana,Cuba,North America,0.0015,240,
2131291,2085864,Yangzhou,China,Asia,0.0218,241,
2124797,2046187,Wuhu Anhui,China,Asia,0.0384,242,
2121992,2109631,Brussels,Belgium,Europe,0.0059,243,
2117997,2092649,Perth,Australia,Oceania,0.0121,244,
2110937,2048525,Conakry,Guinea,Africa,0.0305,245,
2107539,2064081,Baoding,China,Asia,0.0211,246,
2106606,2025984,Kollam,India,Asia,0.0398,247,
2102143,2048701,Taizhou Zhejiang,China,Asia,0.0261,248,
2086324,2054748,Bursa,Turkey,Asia,0.0154,249,
2076364,2030847,Linyi Shandong,China,Asia,0.0224,250,
2067591,2072344,Hiroshima,Japan,Asia,-0.0023,251,
2057257,2048574,Minsk,Belarus,Europe,0.0042,252,
2043107,1988607,Rajkot,India,Asia,0.0274,253,
2016092,1974244,Haikou,China,Asia,0.0212,254,
2000656,1954752,Daqing,China,Asia,0.0235,255,
1993463,1951122,Yancheng Jiangsu,China,Asia,0.0217,256,
1987301,1958135,Almaty,Kazakhstan,Asia,0.0149,257,
1986439,1933605,Lianyungang,China,Asia,0.0273,258,
1983445,1959318,Valencia,Venezuela,South America,0.0123,259,
1981615,1925517,Lome,Togo,Africa,0.0291,260,
1976866,1937963,Panama City,Panama,North America,0.0201,261,
1975306,1937887,Semarang,Indonesia,Asia,0.0193,262,
1975271,1960023,Vienna,Austria,Europe,0.0078,263,
1967684,1925953,Hyderabad,Pakistan,Asia,0.0217,264,
1959388,1931930,Rabat,Morocco,Africa,0.0142,265,
1956995,1928296,Quito,Ecuador,South America,0.0149,266,
1951085,1916772,Ludhiana,India,Asia,0.0179,267,
1949400,1907721,Davao City,Philippines,Asia,0.0218,268,
1947785,1929846,Baixada Santista,Brazil,South America,0.0093,269,
1935619,1907686,La Paz,Bolivia,South America,0.0146,270,
1928661,1915134,West Yorkshire,United Kingdom,Europe,0.0071,271,
1904631,1841084,Benin City,Nigeria,Africa,0.0345,272,
1898749,1873522,Leon de los Aldamas,Mexico,North America,0.0135,273,
1889829,1847411,Zhuhai,China,Asia,0.023,274,
1873693,1831912,Datong,China,Asia,0.0228,275,
1869994,1814734,Quanzhou,China,Asia,0.0305,276,
1865172,1786437,Can Tho,Vietnam,Asia,0.0441,277,
1852405,1796872,Matola,Mozambique,Africa,0.0309,278,
1835895,1814445,Adana,Turkey,Asia,0.0118,279,
1834279,1798834,Madurai,India,Asia,0.0197,280,
1830858,1785684,Sharjah,United Arab Emirates,Asia,0.0253,281,
1820114,1784372,Santa Cruz,Bolivia,South America,0.02,282,
1818421,1785209,Palembang,Indonesia,Asia,0.0186,283,
1816813,1760411,Raipur,India,Asia,0.032,284,
1804704,1773495,Gaziantep,Turkey,Asia,0.0176,285,
1801944,1798471,Turin,Italy,Europe,0.0019,286,
1797805,1762162,Meerut,India,Asia,0.0202,287,
1797516,1794532,Warsaw,Poland,Europe,0.0017,288,
1792020,1737101,Mosul,Iraq,Asia,0.0316,289,
1788871,1732743,Cixi,China,Asia,0.0324,290,
1787520,1788170,Hamburg,Germany,Europe,-0.0004,291,
1780592,1729825,La Laguna,Mexico,North America,0.0293,292,
1778052,1775207,Budapest,Hungary,Europe,0.0016,293,
1776385,1785294,Bucharest,Romania,Europe,-0.005,294,
1774396,1767243,Montevideo,Uruguay,South America,0.004,295,
1768511,1740196,Jiangmen,China,Asia,0.0163,296,
1761188,1747575,Lyon,France,Europe,0.0078,297,
1754425,1722259,Varanasi,India,Asia,0.0187,298,
1748142,1684932,Batam,Indonesia,Asia,0.0375,299,
1742706,1713433,Xiangyang,China,Asia,0.0171,300,
1720954,1698584,Shiraz,Iran,Asia,0.0132,301,
1716591,1672688,Yinchuan,China,Asia,0.0262,302,
1711244,1660148,Yichang,China,Asia,0.0308,303,
1700066,1679050,Stockholm,Sweden,Europe,0.0125,304,
1698277,1659935,Srinagar,India,Asia,0.0231,305,
1698088,1688907,Glasgow,United Kingdom,Europe,0.0054,306,
1695060,1661439,Jamshedpur,India,Asia,0.0202,307,
1694765,1686236,Novosibirsk,Russia,Europe,0.0051,308,
1689499,1667187,Anshan,China,Asia,0.0134,309,
1683389,1641602,Aurangabad,India,Asia,0.0255,310,
1680962,1634829,Qinhuangdao,China,Asia,0.0282,311,
1678020,1622582,Monrovia,Liberia,Africa,0.0342,312,
1677173,1619469,Tiruppur,India,Asia,0.0356,313,
1673220,1652341,Auckland,New Zealand,Oceania,0.0126,314,
1673094,1642129,Makassar,Indonesia,Asia,0.0189,315,
1672627,1644544,Ulaanbaatar,Mongolia,Asia,0.0171,316,
1668785,1645140,Jilin,China,Asia,0.0144,317,
1666605,1625782,Xining,China,Asia,0.0251,318,
1664968,1595867,Suqian,China,Asia,0.0433,319,
1664442,1592924,Kananga,DR Congo,Africa,0.0449,320,
1661854,1618900,Hengyang,China,Asia,0.0265,321,
1660737,1643960,Tabriz,Iran,Asia,0.0102,322,
1651344,1637902,Phoenix,United States,North America,0.0082,323,
1650319,1622620,Muscat,Oman,Asia,0.0171,324,
1642347,1585812,Anyang,China,Asia,0.0357,325,
1639613,1611475,Calgary,Canada,North America,0.0175,326,
1635458,1609057,Qiqihaer,China,Asia,0.0164,327,
1627549,1620227,Marseille,France,Europe,0.0045,328,
1623382,1552630,Onitsha,Nigeria,Africa,0.0456,329,
1611651,1597844,Cordoba,Argentina,South America,0.0086,330,
1594096,1574235,Rosario,Argentina,South America,0.0126,331,
1593608,1586825,Karaj,Iran,Asia,0.0043,332,
1592324,1532588,N-Djamena,Chad,Africa,0.039,333,
1586547,1548048,Jodhpur,India,Asia,0.0249,334,
1582313,1560821,Ciudad Juarez,Mexico,North America,0.0138,335,
1578128,1557740,Harare,Zimbabwe,Africa,0.0131,336,
1577436,1573369,Daejon,South Korea,Asia,0.0026,337,
1576416,1566128,Munich,Germany,Europe,0.0066,338,
1572571,1545420,Medina,Saudi Arabia,Asia,0.0176,339,
1571010,1521057,Kathmandu,Nepal,Asia,0.0328,340,
1569560,1543534,Jining Shandong,China,Asia,0.0169,341,
1568025,1526660,Tegucigalpa,Honduras,North America,0.0271,342,
1566999,1539830,Abu Dhabi,United Arab Emirates,Asia,0.0176,343,
1552899,1547094,Gaoxiong,Taiwan,Asia,0.0038,344,
1547258,1510765,Ranchi,India,Asia,0.0242,345,
1544448,1518921,Edmonton,Canada,North America,0.0168,346,
1536171,1502958,Zhangjiakou,China,Asia,0.0221,347,
1535316,1511614,Natal,Brazil,South America,0.0157,348,
1531860,1500625,Mandalay,Myanmar,Asia,0.0208,349,
1529472,1526457,Gwangju,South Korea,Asia,0.002,350,
1527886,1551880,Philadelphia,South Korea,North America,-0.0155,351,351
1527728,1521136,Yekaterinburg,Russia,Europe,0.0043,352,
1523629,1511102,Grande Sao Luis,Brazil,South America,0.0083,353,
1522121,1495679,Jabalpur,India,Asia,0.0177,354,
1516795,1474243,Kota,India,Asia,0.0289,355,
1512668,1486964,Huainan,China,Asia,0.0173,356,
1505033,1478266,Asansol,India,Asia,0.0181,357,
1496298,1472558,Chaozhou,China,Asia,0.0161,358,
1491958,1431539,Nouakchott,Mauritania,Africa,0.0422,359,
1483320,1436780,Yiwu,China,Asia,0.0324,360,
1479493,1465608,San Antonio,United States,North America,0.0095,361,361
1475016,1442015,Gwalior,India,Asia,0.0229,362,
1465152,1439202,Allahabad,India,Asia,0.018,363,
1461989,1441324,San Jose,Costa Rica,North America,0.0143,364,
1459678,1405736,Ganzhou,China,Asia,0.0384,365,
1454222,1435745,Chon Buri,Thailand,Asia,0.0129,366,
1451748,1425040,Amritsar,India,Asia,0.0187,367,
1448124,1413646,Basra,Iraq,Asia,0.0244,368,
1446810,1414649,Taizhou Jiangsu,China,Asia,0.0227,369,
1443429,1397632,Homs,Syria,Asia,0.0328,370,
1440396,1388979,Mombasa,Kenya,Africa,0.037,371,
1437233,1383909,Niamey,Niger,Africa,0.0385,372,
1437188,1422635,Ottawa,Canada,North America,0.0102,373,
1431538,1419621,Zurich,Switzerland,Europe,0.0084,374,
1429315,1389782,Weihai,China,Asia,0.0284,375,
1424982,1373885,Jiaxing,China,Asia,0.0372,376,
1423395,1366342,Kisangani,DR Congo,Africa,0.0418,377,
1422974,1382031,Hai Phong,Vietnam,Asia,0.0296,378,
1421827,1407889,Joao Pessoa,Brazil,South America,0.0099,379,
1421052,1423343,Kharkiv,Ukraine,Europe,-0.0016,380,
1416064,1390010,Taian Shandong,China,Asia,0.0187,381,
1413474,1389302,Queretaro,Mexico,North America,0.0174,382,
1408144,1405192,Belgrade,Serbia,Europe,0.0021,383,
1407632,1383000,Konya,Turkey,Asia,0.0178,384,
1400250,1368920,Cochabamba,Bolivia,South America,0.0229,385,
1398262,1359105,Kaifeng,China,Asia,0.0288,386,
1391258,1353165,Rizhao,China,Asia,0.0282,387,
1389776,1367686,Dhanbad,India,Asia,0.0162,388,
1381498,1365580,Bucaramanga,Colombia,South America,0.0117,389,
1381005,1370131,Copenhagen,Denmark,Europe,0.0079,390,
1379377,1346126,Dongying,China,Asia,0.0247,391,
1378077,1322063,Liuan,China,Asia,0.0424,392,
1377572,1339649,Nanchong,China,Asia,0.0283,393,
1376453,1345424,Zunyi,China,Asia,0.0231,394,
1374076,1377838,San Diego,United States,North America,-0.0027,395,395
1373523,1310870,Liuyang,China,Asia,0.0478,396,
1371998,1343882,Zhanjiang,China,Asia,0.0209,397,
1369066,1354431,Taizhong,Taiwan,Asia,0.0108,398,
1366783,1355522,Adelaide,Australia,Oceania,0.0083,399,
1365352,1349905,Suweon,South Korea,Asia,0.0114,400,
1363510,1350505,Maceio,Brazil,South America,0.0096,401,
1358871,1341605,Samut Prakan,Thailand,Asia,0.0129,402,
1354174,1333404,Qom,Iran,Asia,0.0156,403,
1354025,1318236,Shiyan,China,Asia,0.0271,404,
1351383,1326012,Mianyang Sichuan,China,Asia,0.0191,405,
1348664,1317085,Bareilly,India,Asia,0.024,406,
1348521,1334194,Joinville,Brazil,South America,0.0107,407,
1347240,1318826,Antalya,Turkey,Asia,0.0215,408,
1337786,1327762,Helsinki,Finland,Europe,0.0075,409,
1336387,1294612,Pointe-Noire,Republic of the Congo,Africa,0.0323,410,
1329291,1304688,Ad-Dammam,Saudi Arabia,Asia,0.0189,411,
1329284,1264636,Uyo,Nigeria,Africa,0.0511,412,
1324652,1320347,Porto,Portugal,Europe,0.0033,413,
1323339,1318085,Prague,Czech Republic,Europe,0.004,414,
1323174,1288451,Yingkou,China,Asia,0.0269,415,
1322916,1281380,Tengzhou,China,Asia,0.0324,416,
1314178,1277242,Tanger,Morocco,Africa,0.0289,417,
1312369,1278555,Aligarh,India,Asia,0.0264,418,
1310754,1245444,Mwanza,Tanzania,Africa,0.0524,419,
1310433,1266746,Suzhou,China,Asia,0.0345,420,
1309168,1272145,Freetown,Sierra Leone,Africa,0.0291,421,
1304565,1294781,Fushun Liaoning,China,Asia,0.0076,422,
1303900,1272048,Maoming,China,Asia,0.025,423,
1303355,1271197,Pekan Baru,Indonesia,Asia,0.0253,424,
1301740,1267139,Moradabad,India,Asia,0.0273,425,
1295928,1280550,Port Elizabeth,South Africa,Africa,0.012,426,
1294486,1277547,Florianopolis,Brazil,South America,0.0133,427,
1293619,1277613,Ahvaz,Iran,Asia,0.0125,428,
1291884,1286418,Kazan,Russia,Europe,0.0042,429,
1291280,1253779,Astana,Kazakhstan,Asia,0.0299,430,
1290039,1267317,Fes,Morocco,Africa,0.0179,431,
1288245,1261097,Mysore,India,Asia,0.0215,432,
1288114,1286789,Sofia,Bulgaria,Europe,0.001,433,
1282479,1240240,Jieyang,China,Asia,0.0341,434,
1281790,1246135,Ruian,China,Asia,0.0286,435,
1276316,1222325,Lilongwe,Malawi,Africa,0.0442,436,
1273325,1254382,San Luis Potosi,Mexico,North America,0.0151,437,
1270172,1255963,Dublin,Ireland,Europe,0.0113,438,
1266034,1244528,Durg-Bhilainagar,India,Asia,0.0173,439,
1261077,1230134,Baoji,China,Asia,0.0252,440,
1259404,1273848,Dallas,United States,North America,-0.0113,441,441
1257941,1215822,Jinhua,China,Asia,0.0346,442,
1257642,1226033,Bhubaneswar,India,Asia,0.0258,443,
1256581,1225598,Pingdingshan Henan,China,Asia,0.0253,444,
1254519,1231664,Zhuzhou,China,Asia,0.0186,445,
1254192,1240714,Barquisimeto,Venezuela,South America,0.0109,446,
1254160,1223886,Puning,China,Asia,0.0247,447,
1252890,1188736,Abomey-Calavi,Benin,Africa,0.054,448,
1252414,1223975,Chifeng,China,Asia,0.0232,449,
1251332,1252917,Nizhniy Novgorod,Russia,Europe,-0.0013,450,
1250668,1225251,Zhenjiang Jiangsu,China,Asia,0.0207,451,
1248783,1190367,Bukavu,DR Congo,Africa,0.0491,452,
1247551,1208296,Kigali,Rwanda,Africa,0.0325,453,
1242945,1229520,Maracay,Venezuela,South America,0.0109,454,
1240926,1237272,Chelyabinsk,Russia,Europe,0.003,455,
1239186,1176550,Nnewi,Nigeria,Africa,0.0532,456,
1236271,1205931,Huaibei,China,Asia,0.0252,457,
1232447,1198035,Islamabad,Pakistan,Asia,0.0287,458,
1231445,1207036,Bogor,Indonesia,Asia,0.0202,459,
1230644,1183380,Liupanshui,China,Asia,0.0399,460,
1226427,1209458,Mendoza,Argentina,South America,0.014,461,
1224629,1197901,Nanyang Henan,China,Asia,0.0223,462,
1223912,1197437,Xiangtan Hunan,China,Asia,0.0221,463,
